CODE,ONHAND,,,,,,,,,,,,,,,,
#57180,0,,,,,,,,,,,,,,,,
#67173,5,,,,,,,,,,,,,,,,
#91041,10,,,,,,,,,,,,,,,,
#98001,4,,,,,,,,,,,,,,,,
3289,1,,,,,,,,,,,,,,,,
4673,1,,,,,,,,,,,,,,,,
0005081/043-12,0,,,,,,,,,,,,,,,,
6171,0,,,,,,,,,,,,,,,,
6377,0,,,,,,,,,,,,,,,,
6533,2,,,,,,,,,,,,,,,,
001237/051-10,1,,,,,,,,,,,,,,,,
001237/051-11,6,,,,,,,,,,,,,,,,
001237/051-12,3,,,,,,,,,,,,,,,,
001237/051-3,15,,,,,,,,,,,,,,,,
001237/051-4,15,,,,,,,,,,,,,,,,
001237/051-5,13,,,,,,,,,,,,,,,,
001237/051-6,9,,,,,,,,,,,,,,,,
001237/051-7,0,,,,,,,,,,,,,,,,
001237/051-8,0,,,,,,,,,,,,,,,,
001237/051-9,0,,,,,,,,,,,,,,,,
1430,0,,,,,,,,,,,,,,,,
1432,0,,,,,,,,,,,,,,,,
1432858,0,,,,,,,,,,,,,,,,
201,0,,,,,,,,,,,,,,,,
202,0,,,,,,,,,,,,,,,,
203,0,,,,,,,,,,,,,,,,
204,1,,,,,,,,,,,,,,,,
205,1,,,,,,,,,,,,,,,,
206,0,,,,,,,,,,,,,,,,
207,0,,,,,,,,,,,,,,,,
208,0,,,,,,,,,,,,,,,,
209,1,,,,,,,,,,,,,,,,
210,0,,,,,,,,,,,,,,,,
211,0,,,,,,,,,,,,,,,,
212,0,,,,,,,,,,,,,,,,
213,0,,,,,,,,,,,,,,,,
214,0,,,,,,,,,,,,,,,,
215,0,,,,,,,,,,,,,,,,
216,0,,,,,,,,,,,,,,,,
220,0,,,,,,,,,,,,,,,,
221,0,,,,,,,,,,,,,,,,
222,0,,,,,,,,,,,,,,,,
224,1,,,,,,,,,,,,,,,,
226,0,,,,,,,,,,,,,,,,
228,0,,,,,,,,,,,,,,,,
230,0,,,,,,,,,,,,,,,,
233,0,,,,,,,,,,,,,,,,
234,1,,,,,,,,,,,,,,,,
235,0,,,,,,,,,,,,,,,,
236,0,,,,,,,,,,,,,,,,
237,0,,,,,,,,,,,,,,,,
238,1,,,,,,,,,,,,,,,,
239,1,,,,,,,,,,,,,,,,
240,1,,,,,,,,,,,,,,,,
241,0,,,,,,,,,,,,,,,,
242,1,,,,,,,,,,,,,,,,
243,0,,,,,,,,,,,,,,,,
245,0,,,,,,,,,,,,,,,,
246,0,,,,,,,,,,,,,,,,
248,0,,,,,,,,,,,,,,,,
250,1,,,,,,,,,,,,,,,,
252,0,,,,,,,,,,,,,,,,
254,0,,,,,,,,,,,,,,,,
261,0,,,,,,,,,,,,,,,,
410,0,,,,,,,,,,,,,,,,
411,0,,,,,,,,,,,,,,,,
413,0,,,,,,,,,,,,,,,,
414,0,,,,,,,,,,,,,,,,
415,0,,,,,,,,,,,,,,,,
416,0,,,,,,,,,,,,,,,,
417,0,,,,,,,,,,,,,,,,
418,0,,,,,,,,,,,,,,,,
419,0,,,,,,,,,,,,,,,,
420,0,,,,,,,,,,,,,,,,
42435,1,,,,,,,,,,,,,,,,
427,0,,,,,,,,,,,,,,,,
431,0,,,,,,,,,,,,,,,,
432,0,,,,,,,,,,,,,,,,
433,0,,,,,,,,,,,,,,,,
434,0,,,,,,,,,,,,,,,,
441,1,,,,,,,,,,,,,,,,
442,2,,,,,,,,,,,,,,,,
0047812-ADU-2XL,1,,,,,,,,,,,,,,,,
0047812-ADU-L,2,,,,,,,,,,,,,,,,
0047812-ADU-M,2,,,,,,,,,,,,,,,,
0047812-ADU-S,1,,,,,,,,,,,,,,,,
0047812-ADU-XL,0,,,,,,,,,,,,,,,,
0047812-BER-2XL,1,,,,,,,,,,,,,,,,
0047812-BER-L,1,,,,,,,,,,,,,,,,
0047812-BER-M,2,,,,,,,,,,,,,,,,
0047812-BER-S,0,,,,,,,,,,,,,,,,
0047812-BER-XL,2,,,,,,,,,,,,,,,,
0047812-BLK-2XL,0,,,,,,,,,,,,,,,,
0047812-BLK-L,0,,,,,,,,,,,,,,,,
0047812-BLK-M,0,,,,,,,,,,,,,,,,
0047812-BLK-S,0,,,,,,,,,,,,,,,,
0047812-BLK-XL,0,,,,,,,,,,,,,,,,
0047812-DIJ-2XL,1,,,,,,,,,,,,,,,,
0047812-DIJ-L,1,,,,,,,,,,,,,,,,
0047812-DIJ-M,1,,,,,,,,,,,,,,,,
0047812-DIJ-S,0,,,,,,,,,,,,,,,,
0047812-DIJ-XL,0,,,,,,,,,,,,,,,,
0047812-ELG-2XL,1,,,,,,,,,,,,,,,,
0047812-ELG-L,0,,,,,,,,,,,,,,,,
0047812-ELG-M,0,,,,,,,,,,,,,,,,
